Core(s),# of Threads,Execution Number,μs,Seconds,Average μs
1,1,1,7842,0.007843,
1,1,2,3124,0.003125,
1,1,3,25642,0.025642,
1,1,4,19374,0.019375,
1,1,5,18860,0.018861,
1,1,6,24892,0.024893,12473
1,2,1,14851,0.014852,
1,2,2,8565,0.008566,
1,2,3,5045,0.005046,
1,2,4,6684,0.006684,
1,2,5,10739,0.010739,
1,2,6,17624,0.017624,7647
1,3,1,17134,0.017135,
1,3,2,13655,0.013655,
1,3,3,15962,0.015962,
1,3,4,13503,0.013504,
1,3,5,8822,0.008822,
1,3,6,19517,0.019518,11512
1,4,1,22881,0.022882,
1,4,2,15816,0.015816,
1,4,3,16211,0.016212,
1,4,4,13778,0.013778,
1,4,5,6868,0.006868,
1,4,6,10732,0.010732,12592
1,5,1,7970,0.007971,
1,5,2,12107,0.012107,
1,5,3,16345,0.016346,
1,5,4,25024,0.025024,
1,5,5,22110,0.022110,
1,5,6,12387,0.012387,13926
1,6,1,12984,0.012984,
1,6,2,21885,0.021885,
1,6,3,28184,0.028185,
1,6,4,19641,0.019642,
1,6,5,6824,0.006824,
1,6,6,5384,0.005385,14919
1,7,1,19512,0.019513,
1,7,2,11881,0.011881,
1,7,3,19893,0.019893,
1,7,4,16037,0.016037,
1,7,5,9173,0.009173,
1,7,6,6668,0.006669,12749
1,8,1,9655,0.009655,
1,8,2,16289,0.016289,
1,8,3,16931,0.016931,
1,8,4,28143,0.028144,
1,8,5,15591,0.015592,
1,8,6,10995,0.010996,14434
1,9,1,5312,0.005312,
1,9,2,18161,0.018161,
1,9,3,12447,0.012447,
1,9,4,11959,0.011959,
1,9,5,15010,0.015010,
1,9,6,7781,0.007782,10481
1,10,1,8312,0.008313,
1,10,2,11012,0.011012,
1,10,3,13095,0.013095,
1,10,4,10171,0.010171,
1,10,5,13887,0.013887,
1,10,6,9830,0.009831,9412
1,11,1,7392,0.007392,
1,11,2,10107,0.010107,
1,11,3,25498,0.025498,
1,11,4,19822,0.019823,
1,11,5,10372,0.010372,
1,11,6,9375,0.009375,12198
1,12,1,4999,0.005000,
1,12,2,6676,0.006676,
1,12,3,12721,0.012721,
1,12,4,8937,0.008938,
1,12,5,8639,0.008640,
1,12,6,11698,0.011699,6995
1,13,1,8583,0.008583,
